id,type,name,elevation_ft,municipality,gps_code,iata_code,local_code,latitude,longitude,state_code
5NK,small_airport,Naknek Airport,70.0,Naknek,5NK,NNK,5NK, 58.732898712158,-157.02000427246,AK
5Z9,seaplane_base,Lake Brooks Seaplane Base,36.0,Katmai National Park,5Z9,BKF,5Z9, 58.554798126221,-155.77699279785,AK
65LA,small_airport,Southern Seaplane Airport,,Belle Chasse,65LA,BCS,65LA, 29.8661003113,-90.0222015381,LA
6CA3,heliport,Catalina Air-Sea Terminal Heliport,5.0,San Pedro,6CA3,SPQ,6CA3, 33.7491989136,-118.275001526,CA
6N5,heliport,East 34th Street Heliport,10.0,New York,6N5,TSS,6N5, 40.74259948730469,-73.97209930419922,NY
6N7,seaplane_base,New York Skyports Inc Seaplane Base,,New York,,QNY,6N7, 40.734001,-73.9729,NY
6OK6,small_airport,Earl Henry Airport,1054.0,Blackwell,6OK6,BWL,6OK6, 36.7958984375,-97.3170013428,OK
78K,seaplane_base,Yes Bay Lodge Seaplane Base,,Yes Bay,78K,WYB,78K, 55.9163017273,-131.800994873,AK
78WA,small_airport,Center Island Airport,115.0,Center Island,78WA,CWS,78WA, 48.4901008606,-122.832000732,WA
7KA,small_airport,Tatitlek Airport,62.0,Tatitlek,PAKA,TEK,7KA, 60.871449,-146.690297,AK
7NC2,small_airport,Pine Island Airport,16.0,Corolla,7NC2,DUF,7NC2, 36.2535018921,-75.7884979248,NC
7WA5,small_airport,Stuart Island Airpark,10.0,Stuart Island,7WA5,SSW,7WA5, 48.672901153564,-123.17600250244,WA
82CL,small_airport,Fort Bragg Airport,71.0,Fort Bragg,82CL,FOB,82CL, 39.4743003845,-123.79599762,CA
83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,0.0,Poulsbo,83Q,PUL,83Q, 47.734001159668,-122.64700317383,WA
84CL,heliport,Century City Heliport,473.0,Los Angeles,84CL,CCD,84CL, 34.060798645,-118.417999268,CA
84K,seaplane_base,Meyers Chuck Seaplane Base,0.0,Meyers Chuck,84K,WMK,84K, 55.7396011353,-132.255004883,AK
89NY,small_airport,Maxson Airfield,340.0,Alexandria Bay,89NY,AXB,89NY, 44.312002,-75.90034,NY
8XS8,small_airport,Reese Airpark,3338.0,Lubbock,8XS8,REE,8XS8, 33.590301513672,-102.03700256348,TX
90WA,small_airport,Waldronaire Airport,140.0,East Sound,90WA,WDN,90WA, 48.7117996216,-123.017997742,WA
96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,0.0,Whale Pass,,WWP,96Z, 56.116299,-133.121994,AK
9A3,small_airport,Chuathbaluk Airport,244.0,Chuathbaluk,PACH,CHU,9A3, 61.579102,-159.216003,AK
9A8,small_airport,Ugashik Airport,25.0,Ugashik,9A8,UGS,9A8, 57.5279006958,-157.399002075,AK
9N2,seaplane_base,Philadelphia Seaplane Base,0.0,Essington,9N2,PSQ,9N2, 39.859001159668,-75.299598693848,PA
9Z8,small_airport,Levelock Airport,39.0,Levelock,9Z8,KLL,9Z8, 59.128101348899996,-156.85899353,AK
A23,seaplane_base,Saginaw Seaplane Base,0.0,Saginaw Bay,A23,SGW,A23, 56.8862991333,-134.158004761,AK
A61,small_airport,Tuntutuliak Airport,16.0,Tuntutuliak,A61,WTL,A61, 60.3353004456,-162.667007446,AK
A63,small_airport,Twin Hills Airport,82.0,Twin Hills,A63,TWA,A63, 59.07559967041,-160.27299499512,AK
A79,small_airport,Chignik Lake Airport,50.0,Chignik Lake,A79,KCQ,A79, 56.2550010681,-158.774993896,AK
AHT,closed,Amchitka Army Airfield,215.0,Amchitka Island,PAHT,AHT,, 51.3777777778,179.259166667,AK
AK13,small_airport,Chena Hot Springs Airport,1195.0,Chena Hot Springs,AK13,CEX,AK13, 65.0518035889,-146.04699707,AK
AK26,small_airport,Solomon State Field,25.0,Solomon,AK26,SOL,AK26, 64.5605,-164.4457,AK
AK33,small_airport,Herendeen Bay Airport,20.0,Herendeen Bay,AK33,HED,AK33, 55.801399231,-160.899002075,AK
AK49,small_airport,Taylor Airport,440.0,Taylor,AK49,TWE,AK49, 65.6792984009,-164.798995972,AK
AK56,seaplane_base,Tikchik Lodge Seaplane Base,304.0,Tikchik,AK56,KTH,AK56, 59.9631996155,-158.477005005,AK
AK62,seaplane_base,Naukati Bay Seaplane Base,,Tuxekan Island,AK62,NKI,AK62, 55.849602,-133.227994,AK
AK71,small_airport,Lonely Air Station,17.0,Lonely,PALN,LNI,AK71, 70.91069794,-153.2420044,AK
AK75,small_airport,Candle 2 Airport,15.0,Candle,AK75,CDL,AK75, 65.907699585,-161.925994873,AK
AK81,seaplane_base,Amook Bay Seaplane Base,,Amook Bay,AK81,AOS,AK81, 57.4715003967,-153.815002441,AK
AK96,small_airport,Bartletts Airport,50.0,Egegik,AK96,BSZ,AK96, 58.2162017822,-157.352005005,AK
AK97,small_airport,Boswell Bay Airport,230.0,Boswell Bay,AK97,BSW,AK97, 60.4230995178,-146.145996094,AK
AL73,small_airport,Sharpe Field,253.0,Tuskegee,AL73,TGE,AL73, 32.4919013977,-85.7755966187,AL
ALZ,seaplane_base,Alitak Seaplane Base,,Lazy Bay,,ALZ,ALZ, 56.8995018005,-154.248001099,AK
AQY,small_airport,Girdwood Airport,150.0,Girdwood,,AQY,AQY, 60.966099,-149.126007,AK
ARX,closed,Asbury Park Neptune Air Terminal,95.0,Asbury Park,,ARX,, 40.2193055556,-74.0908333333,NJ
AUS,closed,Austin Robert Mueller Municipal,,,KAUS,AUS,, 30.2987223546,-97.6997852325,TX
AYZ,closed,Zahn's Airport,,Amityville,,AYZ,, 40.71,-73.4,NY
AZ15,heliport,Lava Falls Heliport,1720.0,Supai Village,AZ15,HAE,AZ15, 36.191600799599996,-113.092002869,AZ
BBG,small_airport,Branson Airport,1302.0,Branson,KBBG,BKG,BBG, 36.532082,-93.200544,MO
BCJ,closed,Baca Grande Airfield,7620.0,Crestone,,BCJ,, 37.964777777799995,-105.776666667,CO
BDH,small_airport,Willmar Municipal -John L Rice Field,1126.0,Willmar,KBDH,ILL,BDH, 45.11769867,-95.13040161,MN
BNF,seaplane_base,Baranof Warm Springs Float and Seaplane Base,0.0,Baranof,,BNF,BNF, 57.088799,-134.833146,AK
BOF,heliport,Bolling Air Force Base,20.0,Washington,KBOF,BOF,BOF, 38.842899322499996,-77.0160980225,DC
BOK,small_airport,Brookings Airport,459.0,Brookings,KBOK,BOK,BOK, 42.0746,-124.290001,OR
BQV,seaplane_base,Bartlett Cove Seaplane Base,0.0,Gustavus,BQV,BQV,BQV, 58.4552001953,-135.884994507,AK
BRG,closed,Whitesburg Municipal Airport,1985.0,Whitesburg,,BRG,, 37.2219,-82.8742,KY
BYA,small_airport,Boundary Airport,2940.0,Boundary,BYA,BYA,BYA, 64.0783004761,-141.113006592,AK
BZS,closed,Buzzards Point Seaplane Base,0.0,Washington,,BZS,, 38.863,-77.011,DC
CGA,seaplane_base,Craig Seaplane Base,,Craig,CGA,CGA,CGA, 55.47880172729492,-133.1479949951172,AK
CHP,small_airport,Circle Hot Springs Airport,956.0,Circle Hot Springs,CHP,CHP,CHP, 65.485496521,-144.610992432,AK
CIV,seaplane_base,Chomley Seaplane Base,0.0,Chomley,,CIV,, 55.217,-132.21,AK
CJX,small_airport,Crooked Creek Airport,178.0,Crooked Creek,CJX,CKD,CJX, 61.8679008484,-158.134994507,AK
CKR,small_airport,Crane Island Airstrip,108.0,Crane Island,,CKR,, 48.5978,-122.9979,WA
CKU,small_airport,Cordova Municipal Airport,12.0,Cordova,CKU,CKU,CKU, 60.5438995361,-145.727005005,AK
CKX,small_airport,Chicken Airport,1640.0,Chicken,CKX,CKX,CKX, 64.0712966919,-141.95199585,AK
CLC,closed,Clear Lake Metroport,25.0,Clear Lake,,CLC,, 29.5555,-95.1383,TX
CLG,closed,Coalinga Airport,,,,CLG,, 36.1580433385,-120.360116959,CA
CT88,heliport,Rentschler Heliport,30.0,East Hartford,CT88,EHT,CT88, 41.7517,-72.6253,CT
CVH,small_airport,Hollister Municipal Airport,230.0,Hollister,KCVH,HLI,CVH, 36.8932991028,-121.410003662,CA
CVR,closed,Hughes Airport,17.0,Culver City,,CVR,, 33.975,-118.417,CA
CXC,small_airport,Chitina Airport,556.0,Chitina,CXC,CXC,CXC, 61.582901001,-144.427001953,AK
CYM,seaplane_base,Chatham Seaplane Base,0.0,Chatham,05AA,CYM,05AA, 57.5149,-134.945999,AK
CZK,small_airport,Cascade Locks State Airport,151.0,Cascade Locks,KCZK,CZK,CZK, 45.6768989563,-121.878997803,OR
CZN,small_airport,Chisana Airport,3318.0,Chisana,CZN,CZN,CZN, 62.0712013245,-142.04800415,AK
CZO,small_airport,Chistochina Airport,1850.0,Chistochina,CZO,CZO,CZO, 62.5634994507,-144.669006348,AK
D38,small_airport,Canandaigua Airport,814.0,Ontario County IDA,KIUA,IUA,IUA, 42.908902,-77.325226,NY
D66,small_airport,Delta Junction Airport,1150.0,Delta Junction,D66,DJN,D66, 64.0503997803,-145.716995239,AK
DCK,small_airport,Dahl Creek Airport,260.0,Dahl Creek,DCK,DCK,DCK, 66.9432983398,-156.904998779,AK
DCR,closed,Decatur HI-Way Airfield,842.0,Decatur,,DCR,DCR, 40.837548,-84.862464,IN
DHB,seaplane_base,Deer Harbor SPB,,Deer Harbor,,DHB,, 48.6166666667,-123.002777778,WA
DPK,closed,Deer Park Airport,75.0,Deer Park,,DPK,, 40.76,-73.31,NY
DWS,closed,Lake Buena Vista STOLport,94.0,Walt Disney World,,DWS,, 28.3994444444,-81.5712777778,FL
EDA,seaplane_base,Edna Bay Seaplane Base,0.0,Edna Bay,,EDA,, 55.949653,-133.661012,AK
ESP,closed,Birchwood-Pocono Airport,965.0,East Stroudsburg,,ESP,, 41.0643,-75.2521,PA
EXI,seaplane_base,Excursion Inlet Seaplane Base,0.0,Excursion Inlet,,EXI,EXI, 58.420502,-135.449005,AK
F23,small_airport,Ranger Municipal Airport,1470.0,Ranger,F23,RGR,F23, 32.4525985718,-98.682800293,TX
FAL,closed,Falcon State Airport,358.0,Roma,,FAL,, 26.5856,-99.13985,TX
FEW,heliport,Francis E Warren Air Force Base,6160.0,Cheyenne,KFEW,FEW,FEW, 41.1333007812,-104.866996765,WY
FLE,closed,Fort Lee Army Airfield,96.0,Fort Lee,,FLE,, 37.284,-77.3448,VA
FLT,small_airport,Flat Airport,309.0,Flat,FLT,FLT,FLT, 62.452598571799996,-157.988998413,AK
FSN,closed,Haley Army Airfield,685.0,Fort Sheridan,,FSN,, 42.221,-87.817,IL
GAB,small_airport,Gabbs Airport,4700.0,Gabbs,KGAB,GAB,GAB, 38.924098968500005,-117.958999634,NV
GFD,small_airport,Pope Field,895.0,Greenfield,KGFD,GFD,GFD, 39.790298461899994,-85.7360992432,IN
GNU,small_airport,Goodnews Airport,15.0,Goodnews,GNU,GNU,GNU, 59.117401123,-161.57699585,AK
GSZ,small_airport,Granite Mountain Air Station,1313.0,Granite Mountain,PAGZ,GMT,GSZ, 65.40209961,-161.2810059,AK
GVE,small_airport,Gordonsville Municipal Airport,454.0,Gordonsville,KGVE,GVE,GVE, 38.15599823,-78.165802002,VA
HAY,small_airport,Haycock Airport,175.0,Haycock,HAY,HAY,HAY, 65.20099639889999,-161.156997681,AK
HEY,heliport,Hanchey Army (Fort Rucker) Heliport,317.0,Fort Rucker Ozark,KHEY,HEY,HEY, 31.34600067,-85.65429688,AL
HGT,heliport,Tusi AHP (Hunter Liggett) Heliport,1017.0,Fort Hunter Ligget Jolon,KHGT,HGT,HGT, 35.99349976,-121.2369995,CA
HI01,small_airport,Princeville Airport,344.0,Hanalei,HI01,HPV,HI01, 22.209199905400002,-159.445999146,HI
HI07,heliport,Waikoloa Heliport,119.0,Waikoloa Village,HI07,WKL,HI07, 19.9205,-155.8607,HI
HKB,small_airport,Healy Lake Airport,1180.0,Healy Lake,,HKB,, 63.9958,-144.6926,AK
HNE,small_airport,Tahneta Pass Airport,2960.0,Tahneta Pass Lodge,PAHE,HNE,HNE, 61.901401519800004,-147.304000854,AK
HYL,seaplane_base,Hollis Clark Bay Seaplane Base,0.0,Hollis,HYL,HYL,HYL, 55.4816017151,-132.645996094,AK
IVH,closed,Ivishak Airport,677.0,Ivishak River,,IVH,, 69.4066,-148.2881,AK
JLA,small_airport,Quartz Creek Airport,450.0,Cooper Landing,JLA,JLA,JLA, 60.48270034789999,-149.718994141,AK
JPB,closed,Pan Am Building Heliport,870.0,New York,,JPB,, 40.7533,-73.9765,NY
JPN,heliport,Pentagon Army Heliport,40.0,Washington,KJPN,JPN,JPN, 38.8740997314,-77.0575027466,DC
JRA,heliport,West 30th St. Heliport,7.0,New York,KJRA,JRA,JRA, 40.754501,-74.007103,NY
JRB,heliport,Downtown-Manhattan/Wall St Heliport,7.0,New York,KJRB,JRB,JRB, 40.70119858,-74.00900269,NY
K00C,small_airport,Animas Air Park,6684.0,Durango,,AMK,00C, 37.203201293899994,-107.869003296,CO
K00F,small_airport,Broadus Airport,3280.0,Broadus,00F,BDX,00F, 45.47249985,-105.4540024,MT
K05U,small_airport,Eureka Airport,5954.0,Eureka,05U,EUE,05U, 39.604198455799995,-116.004997253,NV
K06U,small_airport,Jackpot Airport/Hayden Field,5213.0,Jackpot,06U,KPT,06U, 41.97600173949999,-114.657997131,NV
K07,small_airport,Rolla Downtown Airport,987.0,Rolla,K07,RLA,K07, 37.935699462890625,-91.8134994506836,MO
K0B8,small_airport,Elizabeth Field,9.0,Fishers Island,0B8,FID,0B8, 41.25130081179999,-72.0316009521,NY
K0K7,small_airport,Humboldt Municipal Airport,1093.0,Humboldt,0K7,HUD,0K7, 42.736099243199995,-94.2452011108,IA
K0S9,small_airport,Jefferson County International Airport,108.0,Port Townsend,K0S9,TWD,0S9, 48.0537986755,-122.810997009,WA
K1B1,small_airport,Columbia County Airport,198.0,Hudson,1B1,HCC,1B1, 42.2913017273,-73.7102966309,NY
K1F0,small_airport,Ardmore Downtown Executive Airport,844.0,Ardmore,,AHD,1F0, 34.1469993591,-97.1227035522,OK
K1G4,small_airport,Grand Canyon West Airport,4825.0,Peach Springs,K1G4,GCW,1G4, 35.990398407,-113.816001892,AZ
K1O2,small_airport,Lampson Field,1379.0,Lakeport,1O2,CKE,1O2, 38.9906005859,-122.901000977,CA
K1O5,small_airport,Montague-Yreka Rohrer Field,2527.0,Montague,K1O5,ROF,1O5, 41.7304000854,-122.54599762,CA
K1V6,small_airport,Fremont County Airport,5439.0,Ca̱on City,1V6,CNE,1V6, 38.428001403799996,-105.106002808,CO
K21,seaplane_base,Rouses Point Seaplane Base,95.0,Rouses Point,K21,RSX,K21, 44.99169921875,-73.363502502441,NY
K23,small_airport,Cooperstown-Westville Airport,1260.0,Cooperstown,K23,COP,K23, 42.6291999817,-74.89099884030001,NY
K29,small_airport,Council Airport,85.0,Council,K29,CIL,K29, 64.89790344240001,-163.70300293,AK
K2F0,small_airport,Iraan Municipal Airport,2200.0,Iraan,,IRB,2F0, 30.9057006836,-101.891998291,TX
K2O1,small_airport,Gansner Field,3415.0,Quincy,,GNF,2O1, 39.943902,-120.945,CA
K2S7,small_airport,Chiloquin State Airport,4217.0,Chiloquin,K2S7,CHZ,2S7, 42.579440493,-121.879062653,OR
K2W6,small_airport,St. Mary's County Regional Airport,142.0,Leonardtown,2W6,LTW,2W6, 38.3153991699,-76.5501022339,MD
K37V,small_airport,Arapahoe Municipal Airport,2270.0,Arapahoe,,AHF,37V, 40.339500427199994,-99.90650177,NE
K39N,small_airport,Princeton Airport,128.0,Princeton/Rocky Hill,39N,PCT,39N, 40.3992004395,-74.6588973999,NJ
K3C8,small_airport,Calverton Executive Airpark,75.0,Calverton,3C8,CTO,3C8, 40.9151000977,-72.7919006348,NY
K3O9,small_airport,Grand Lake Regional Airport,792.0,Afton,3O9,NRI,3O9, 36.577598571777,-94.86190032959,OK
K3S8,small_airport,Grants Pass Airport,1126.0,Grants Pass,KSXT,GTP,3S8, 42.510101,-123.388,OR
K3TR,small_airport,Jerry Tyler Memorial Airport,750.0,Niles,3TR,NLE,3TR, 41.835899353027,-86.225196838379,MI
K3W7,small_airport,Grand Coulee Dam Airport,1588.0,Electric City,3W7,GCD,3W7, 47.922000885,-119.083000183,WA
K40G,small_airport,Valle Airport,5999.0,Grand Canyon,40G,VLE,40G, 35.65060043335,-112.14800262451,AZ
K40J,small_airport,Perry-Foley Airport,44.0,Perry,40J,FPY,40J, 30.0692997,-83.58059692,FL
K41U,small_airport,Manti-Ephraim Airport,5500.0,Manti,41U,NTJ,41U, 39.32910156,-111.6149979,UT
K44U,small_airport,Salina Gunnison Airport,5159.0,Salina,44U,SBO,44U, 39.029098510699995,-111.837997437,UT
K47N,small_airport,Central Jersey Regional Airport,86.0,Manville,47N,JVI,47N, 40.5243988037,-74.59839630130001,NJ
K4R7,small_airport,Eunice Airport,42.0,Eunice,4R7,UCE,4R7, 30.466299057007,-92.423797607422,LA
K4S1,small_airport,Gold Beach Municipal Airport,20.0,Gold Beach,K4S1,GOL,4S1, 42.41339874,-124.4240036,OR
K50I,small_airport,Kentland Municipal Airport,698.0,Kentland,50I,KKT,50I, 40.7587013245,-87.42819976810001,IN
K5N2,small_airport,Prentice Airport,1578.0,Prentice,,PRW,5N2, 45.542999,-90.279297,WI
K5T9,small_airport,Maverick County Memorial International Airport,887.0,Eagle Pass,5T9,EGP,5T9, 28.85720062,-100.512001,TX
K61B,small_airport,Boulder City Municipal Airport,2201.0,Boulder City,KBVU,BLD,BVU, 35.9474983215,-114.861000061,NV
K67L,small_airport,Mesquite Airport,1978.0,Mesquite,67L,MFH,67L, 36.83499908,-114.0550003,NV
K6D9,small_airport,Iosco County Airport,606.0,East Tawas,,ECA,6D9, 44.312801,-83.422302,MI
K6S2,small_airport,Florence Municipal Airport,51.0,Florence,,FMU,6S2, 43.98279953,-124.111000061,OR
K74S,small_airport,Anacortes Airport,241.0,Anacortes,,OTS,74S, 48.499,-122.662003,WA
K74V,small_airport,Roosevelt Municipal Airport,5172.0,Roosevelt,,ROL,74V, 40.278301,-110.051003,UT
K7G9,small_airport,Canton Municipal Airport,1290.0,Canton,,CTK,7G9, 43.308899,-96.570999,SD
K7V2,small_airport,North Fork Valley Airport,5798.0,Paonia,K7V2,WPO,7V2, 38.8316993713,-107.646003723,CO
K80F,small_airport,Antlers Municipal Airport,575.0,Antlers,80F,ATE,80F, 34.1926002502,-95.6499023438,OK
K8A6,small_airport,Wilgrove Air Park,799.0,Charlotte,K8A6,QWG,8A6, 35.2137985229,-80.67009735110001,NC
K9U3,small_airport,Austin Airport,5730.0,Austin,KTMT,ASQ,TMT, 39.467998,-117.195,NV
KAAF,small_airport,Apalachicola Regional Airport,20.0,Apalachicola,KAAF,AAF,AAF, 29.72750092,-85.02749634,FL
KAAP,closed,Andrau Airpark,79.0,Houston,KAAP,AAP,AAP, 29.722499847399998,-95.58830261230001,TX
KABE,medium_airport,Lehigh Valley International Airport,393.0,Allentown,KABE,ABE,ABE, 40.652099609375,-75.44080352783203,PA
KABI,medium_airport,Abilene Regional Airport,1791.0,Abilene,KABI,ABI,ABI, 32.4113006592,-99.68190002440001,TX
KABQ,large_airport,Albuquerque International Sunport,5355.0,Albuquerque,KABQ,ABQ,ABQ, 35.040199,-106.609001,NM
KABR,medium_airport,Aberdeen Regional Airport,1302.0,Aberdeen,KABR,ABR,ABR, 45.449100494384766,-98.42179870605469,SD
KABY,medium_airport,Southwest Georgia Regional Airport,197.0,Albany,KABY,ABY,ABY, 31.535499572753906,-84.19450378417969,GA
KACB,small_airport,Antrim County Airport,623.0,Bellaire,KACB,ACB,ACB, 44.988602,-85.198402,MI
KACK,medium_airport,Nantucket Memorial Airport,47.0,Nantucket,KACK,ACK,ACK, 41.25310135,-70.06020355,MA
KACT,medium_airport,Waco Regional Airport,516.0,Waco,KACT,ACT,ACT, 31.611299514770508,-97.23049926757812,TX
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,221.0,Arcata/Eureka,KACV,ACV,ACV, 40.978101,-124.109,CA
KACY,medium_airport,Atlantic City International Airport,75.0,Atlantic City,KACY,ACY,ACY, 39.45759963989258,-74.57720184326172,NJ
KADG,small_airport,Lenawee County Airport,798.0,Adrian,KADG,ADG,ADG, 41.8676986694,-84.07730102539999,MI
KADH,small_airport,Ada Regional Airport,1016.0,Ada,KADH,ADT,ADH, 34.804298,-96.671303,OK
KADM,small_airport,Ardmore Municipal Airport,777.0,Ardmore,KADM,ADM,ADM, 34.30301,-97.0196342,OK
KADS,small_airport,Addison Airport,644.0,Dallas,KADS,ADS,ADS, 32.9686012268,-96.8364028931,TX
KADW,large_airport,Joint Base Andrews,280.0,Camp Springs,KADW,ADW,ADW, 38.810799,-76.866997,MD
KAE,seaplane_base,Kake Seaplane Base,,Kake,,KAE,KAE, 56.973,-133.945999,AK
KAEL,small_airport,Albert Lea Municipal Airport,1260.0,Albert Lea,KAEL,AEL,AEL, 43.68149948,-93.36720276,MN
KAEX,medium_airport,Alexandria International Airport,89.0,Alexandria,KAEX,AEX,AEX, 31.32740020751953,-92.54979705810547,LA
KAFF,small_airport,USAF Academy Airfield,6572.0,Colorado Springs,KAFF,AFF,AFF, 38.96969986,-104.8130035,CO
KAFJ,small_airport,Washington County Airport,1184.0,Washington,KAFJ,WSG,AFJ, 40.1365013123,-80.29019927979999,PA
KAFN,small_airport,Jaffrey Airport Silver Ranch Airport,1040.0,Jaffrey,KAFN,AFN,AFN, 42.805099487300005,-72.0029983521,NH
KAFO,small_airport,Afton Municipal Airport,6221.0,Afton,KAFO,AFO,AFO, 42.7112007141,-110.942001343,WY
KAFW,large_airport,Fort Worth Alliance Airport,722.0,Fort Worth,KAFW,AFW,AFW, 32.9875984192,-97.31880187990001,TX
KAGC,medium_airport,Allegheny County Airport,1252.0,Pittsburgh,KAGC,AGC,AGC, 40.354400634765625,-79.9301986694336,PA
KAGO,small_airport,Ralph C Weiser Field,319.0,Magnolia,KAGO,AGO,AGO, 33.228001,-93.217002,AR
KAGS,large_airport,Augusta Regional At Bush Field,144.0,Augusta,KAGS,AGS,AGS, 33.36989974975586,-81.9645004272461,GA
KAHC,small_airport,Amedee Army Air Field,4012.0,Herlong,KAHC,AHC,AHC, 40.26620102,-120.1529999,CA
KAHH,small_airport,Amery Municipal Airport,1088.0,Amery,KAHH,AHH,AHH, 45.2811012268,-92.37539672850001,WI
KAHN,medium_airport,Athens Ben Epps Airport,808.0,Athens,KAHN,AHN,AHN, 33.94860076904297,-83.32630157470703,GA
KAIA,small_airport,Alliance Municipal Airport,3931.0,Alliance,KAIA,AIA,AIA, 42.0531997681,-102.804000854,NE
KAID,small_airport,Anderson Municipal Darlington Field,919.0,Anderson,KAID,AID,AID, 40.10860061649999,-85.6129989624,IN
KAIK,small_airport,Aiken Regional Airport,528.0,Aiken,KAIK,AIK,AIK, 33.649399,-81.684998,SC
KAIO,small_airport,Atlantic Municipal Airport,1165.0,Atlantic,KAIO,AIO,AIO, 41.40729904,-95.04689789,IA
KAIV,small_airport,George Downer Airport,150.0,Aliceville,KAIV,AIV,AIV, 33.106499,-88.1978,AL
